"red","green","blue","rgbstring","strgbstring","colorid","pcolor","maxcolors"
"248","118","109","""248, 118, 109""","""248 118 109""","1","2",24
"0","191","196","""0, 191, 196""","""0 191 196""","2","2",24
"248","118","109","""248, 118, 109""","""248 118 109""","1","3",24
"0","186","56","""0, 186, 56""","""0 186 56""","2","3",24
"97","156","255","""97, 156, 255""","""97 156 255""","3","3",24
"248","118","109","""248, 118, 109""","""248 118 109""","1","4",24
"124","174","0","""124, 174, 0""","""124 174 0""","2","4",24
"0","191","196","""0, 191, 196""","""0 191 196""","3","4",24
"199","124","255","""199, 124, 255""","""199 124 255""","4","4",24
"248","118","109","""248, 118, 109""","""248 118 109""","1","5",24
"163","165","0","""163, 165, 0""","""163 165 0""","2","5",24
"0","191","125","""0, 191, 125""","""0 191 125""","3","5",24
"0","176","246","""0, 176, 246""","""0 176 246""","4","5",24
"231","107","243","""231, 107, 243""","""231 107 243""","5","5",24
"248","118","109","""248, 118, 109""","""248 118 109""","1","6",24
"183","159","0","""183, 159, 0""","""183 159 0""","2","6",24
"0","186","56","""0, 186, 56""","""0 186 56""","3","6",24
"0","191","196","""0, 191, 196""","""0 191 196""","4","6",24
"97","156","255","""97, 156, 255""","""97 156 255""","5","6",24
"245","100","227","""245, 100, 227""","""245 100 227""","6","6",24
"248","118","109","""248, 118, 109""","""248 118 109""","1","7",24
"196","154","0","""196, 154, 0""","""196 154 0""","2","7",24
"83","180","0","""83, 180, 0""","""83 180 0""","3","7",24
"0","192","148","""0, 192, 148""","""0 192 148""","4","7",24
"0","182","235","""0, 182, 235""","""0 182 235""","5","7",24
"165","138","255","""165, 138, 255""","""165 138 255""","6","7",24
"251","97","215","""251, 97, 215""","""251 97 215""","7","7",24
"248","118","109","""248, 118, 109""","""248 118 109""","1","8",24
"205","150","0","""205, 150, 0""","""205 150 0""","2","8",24
"124","174","0","""124, 174, 0""","""124 174 0""","3","8",24
"0","190","103","""0, 190, 103""","""0 190 103""","4","8",24
"0","191","196","""0, 191, 196""","""0 191 196""","5","8",24
"0","169","255","""0, 169, 255""","""0 169 255""","6","8",24
"199","124","255","""199, 124, 255""","""199 124 255""","7","8",24
"255","97","204","""255, 97, 204""","""255 97 204""","8","8",24
"248","118","109","""248, 118, 109""","""248 118 109""","1","9",24
"211","146","0","""211, 146, 0""","""211 146 0""","2","9",24
"147","170","0","""147, 170, 0""","""147 170 0""","3","9",24
"0","186","56","""0, 186, 56""","""0 186 56""","4","9",24
"0","193","159","""0, 193, 159""","""0 193 159""","5","9",24
"0","185","227","""0, 185, 227""","""0 185 227""","6","9",24
"97","156","255","""97, 156, 255""","""97 156 255""","7","9",24
"219","114","251","""219, 114, 251""","""219 114 251""","8","9",24
"255","97","195","""255, 97, 195""","""255 97 195""","9","9",24
"248","118","109","""248, 118, 109""","""248 118 109""","1","10",24
"216","144","0","""216, 144, 0""","""216 144 0""","2","10",24
"163","165","0","""163, 165, 0""","""163 165 0""","3","10",24
"57","182","0","""57, 182, 0""","""57 182 0""","4","10",24
"0","191","125","""0, 191, 125""","""0 191 125""","5","10",24
"0","191","196","""0, 191, 196""","""0 191 196""","6","10",24
"0","176","246","""0, 176, 246""","""0 176 246""","7","10",24
"149","144","255","""149, 144, 255""","""149 144 255""","8","10",24
"231","107","243","""231, 107, 243""","""231 107 243""","9","10",24
"255","98","188","""255, 98, 188""","""255 98 188""","10","10",24
"248","118","109","""248, 118, 109""","""248 118 109""","1","11",24
"219","142","0","""219, 142, 0""","""219 142 0""","2","11",24
"174","162","0","""174, 162, 0""","""174 162 0""","3","11",24
"100","178","0","""100, 178, 0""","""100 178 0""","4","11",24
"0","189","92","""0, 189, 92""","""0 189 92""","5","11",24
"0","193","167","""0, 193, 167""","""0 193 167""","6","11",24
"0","186","222","""0, 186, 222""","""0 186 222""","7","11",24
"0","166","255","""0, 166, 255""","""0 166 255""","8","11",24
"179","133","255","""179, 133, 255""","""179 133 255""","9","11",24
"239","103","235","""239, 103, 235""","""239 103 235""","10","11",24
"255","99","182","""255, 99, 182""","""255 99 182""","11","11",24
"248","118","109","""248, 118, 109""","""248 118 109""","1","12",24
"222","140","0","""222, 140, 0""","""222 140 0""","2","12",24
"183","159","0","""183, 159, 0""","""183 159 0""","3","12",24
"124","174","0","""124, 174, 0""","""124 174 0""","4","12",24
"0","186","56","""0, 186, 56""","""0 186 56""","5","12",24
"0","192","139","""0, 192, 139""","""0 192 139""","6","12",24
"0","191","196","""0, 191, 196""","""0 191 196""","7","12",24
"0","180","240","""0, 180, 240""","""0 180 240""","8","12",24
"97","156","255","""97, 156, 255""","""97 156 255""","9","12",24
"199","124","255","""199, 124, 255""","""199 124 255""","10","12",24
"245","100","227","""245, 100, 227""","""245 100 227""","11","12",24
"255","100","176","""255, 100, 176""","""255 100 176""","12","12",24
"248","118","109","""248, 118, 109""","""248 118 109""","1","13",24
"225","138","0","""225, 138, 0""","""225 138 0""","2","13",24
"190","156","0","""190, 156, 0""","""190 156 0""","3","13",24
"140","171","0","""140, 171, 0""","""140 171 0""","4","13",24
"36","183","0","""36, 183, 0""","""36 183 0""","5","13",24
"0","190","112","""0, 190, 112""","""0 190 112""","6","13",24
"0","193","171","""0, 193, 171""","""0 193 171""","7","13",24
"0","187","218","""0, 187, 218""","""0 187 218""","8","13",24
"0","172","252","""0, 172, 252""","""0 172 252""","9","13",24
"139","147","255","""139, 147, 255""","""139 147 255""","10","13",24
"213","117","254","""213, 117, 254""","""213 117 254""","11","13",24
"249","98","221","""249, 98, 221""","""249 98 221""","12","13",24
"255","101","172","""255, 101, 172""","""255 101 172""","13","13",24
"248","118","109","""248, 118, 109""","""248 118 109""","1","14",24
"227","137","0","""227, 137, 0""","""227 137 0""","2","14",24
"196","154","0","""196, 154, 0""","""196 154 0""","3","14",24
"153","168","0","""153, 168, 0""","""153 168 0""","4","14",24
"83","180","0","""83, 180, 0""","""83 180 0""","5","14",24
"0","188","86","""0, 188, 86""","""0 188 86""","6","14",24
"0","192","148","""0, 192, 148""","""0 192 148""","7","14",24
"0","191","196","""0, 191, 196""","""0 191 196""","8","14",24
"0","182","235","""0, 182, 235""","""0 182 235""","9","14",24
"6","164","255","""6, 164, 255""","""6 164 255""","10","14",24
"165","138","255","""165, 138, 255""","""165 138 255""","11","14",24
"223","112","248","""223, 112, 248""","""223 112 248""","12","14",24
"251","97","215","""251, 97, 215""","""251 97 215""","13","14",24
"255","102","168","""255, 102, 168""","""255 102 168""","14","14",24
"248","118","109","""248, 118, 109""","""248 118 109""","1","15",24
"229","135","0","""229, 135, 0""","""229 135 0""","2","15",24
"201","152","0","""201, 152, 0""","""201 152 0""","3","15",24
"163","165","0","""163, 165, 0""","""163 165 0""","4","15",24
"107","177","0","""107, 177, 0""","""107 177 0""","5","15",24
"0","186","56","""0, 186, 56""","""0 186 56""","6","15",24
"0","191","125","""0, 191, 125""","""0 191 125""","7","15",24
"0","192","175","""0, 192, 175""","""0 192 175""","8","15",24
"0","188","216","""0, 188, 216""","""0 188 216""","9","15",24
"0","176","246","""0, 176, 246""","""0 176 246""","10","15",24
"97","156","255","""97, 156, 255""","""97 156 255""","11","15",24
"185","131","255","""185, 131, 255""","""185 131 255""","12","15",24
"231","107","243","""231, 107, 243""","""231 107 243""","13","15",24
"253","97","209","""253, 97, 209""","""253 97 209""","14","15",24
"255","103","164","""255, 103, 164""","""255 103 164""","15","15",24
"248","118","109","""248, 118, 109""","""248 118 109""","1","16",24
"230","134","19","""230, 134, 19""","""230 134 19""","2","16",24
"205","150","0","""205, 150, 0""","""205 150 0""","3","16",24
"171","163","0","""171, 163, 0""","""171 163 0""","4","16",24
"124","174","0","""124, 174, 0""","""124 174 0""","5","16",24
"12","183","2","""12, 183, 2""","""12 183 2""","6","16",24
"0","190","103","""0, 190, 103""","""0 190 103""","7","16",24
"0","193","154","""0, 193, 154""","""0 193 154""","8","16",24
"0","191","196","""0, 191, 196""","""0 191 196""","9","16",24
"0","184","231","""0, 184, 231""","""0 184 231""","10","16",24
"0","169","255","""0, 169, 255""","""0 169 255""","11","16",24
"132","148","255","""132, 148, 255""","""132 148 255""","12","16",24
"199","124","255","""199, 124, 255""","""199 124 255""","13","16",24
"237","104","237","""237, 104, 237""","""237 104 237""","14","16",24
"255","97","204","""255, 97, 204""","""255 97 204""","15","16",24
"255","104","161","""255, 104, 161""","""255 104 161""","16","16",24
"248","118","109","""248, 118, 109""","""248 118 109""","1","17",24
"231","133","30","""231, 133, 30""","""231 133 30""","2","17",24
"208","148","0","""208, 148, 0""","""208 148 0""","3","17",24
"178","161","0","""178, 161, 0""","""178 161 0""","4","17",24
"137","172","0","""137, 172, 0""","""137 172 0""","5","17",24
"69","181","0","""69, 181, 0""","""69 181 0""","6","17",24
"0","188","81","""0, 188, 81""","""0 188 81""","7","17",24
"0","192","135","""0, 192, 135""","""0 192 135""","8","17",24
"0","192","178","""0, 192, 178""","""0 192 178""","9","17",24
"0","188","214","""0, 188, 214""","""0 188 214""","10","17",24
"0","179","242","""0, 179, 242""","""0 179 242""","11","17",24
"41","163","255","""41, 163, 255""","""41 163 255""","12","17",24
"156","141","255","""156, 141, 255""","""156 141 255""","13","17",24
